cod_departamento,departamento,anio,biologico,cobertura_vacunacion,estado_indicador,rango_bajo_inicio,rango_bajo_fin,rango_medio_inicio,rango_medio_fin,rango_adecuado_inicio,rango_adecuado_fin,cobertura_original,cobertura_porcentaje,nivel_cobertura
73,Tolima,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9732,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9732,97.32,Alta
76,Valle del Cauca,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9606,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9606,96.06,Alta
81,Arauca,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,1.0873,IndicatorState3,0,49.99,80,89.99,90,94.99,10873.0,108.72999999999999,Alta
85,Casanare,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9698,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9698,96.98,Alta
86,Putumayo,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9605,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9605,96.05,Alta
88,Archipiélago de San Andrés Providencia y Santa Catalina,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9047,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9047,90.47,Adecuada
91,Amazonas,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9263,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9263,92.63,Adecuada
94,Guainía,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.9835,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9835,98.35000000000001,Alta
95,Guaviare,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,1.0136,IndicatorState3,0,49.99,80,89.99,90,94.99,10136.0,101.36,Alta
97,Vaupés,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.8996,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8996,89.96,Media
99,Vichada,2019,TV - Sarampión-Rubéola-Paperas (TV) 1 Año Única Dosis,0.931,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.931,93.10000000000001,Adecuada
